Date,Passengers
17899,112
17930,118
17958,132
17989,129
18019,121
18050,135
18080,148
18111,148
18142,136
18172,119
18203,104
18233,118
18264,115
18295,126
18323,141
18354,135
18384,125
18415,149
18445,170
18476,170
18507,158
18537,133
18568,114
18598,140
18629,145
18660,150
18688,178
18719,163
18749,172
18780,178
18810,199
18841,199
18872,184
18902,162
18933,146
18963,166
18994,171
19025,180
19054,193
19085,181
19115,183
19146,218
19176,230
19207,242
19238,209
19268,191
19299,172
19329,194
19360,196
19391,196
19419,236
19450,235
19480,229
19511,243
19541,264
19572,272
19603,237
19633,211
19664,180
19694,201
19725,204
19756,188
19784,235
19815,227
19845,234
19876,264
19906,302
19937,293
19968,259
19998,229
20029,203
20059,229
20090,242
20121,233
20149,267
20180,269
20210,270
20241,315
20271,364
20302,347
20333,312
20363,274
20394,237
20424,278
20455,284
20486,277
20515,317
20546,313
20576,318
20607,374
20637,413
20668,405
20699,355
20729,306
20760,271
20790,306
20821,315
20852,301
20880,356
20911,348
20941,355
20972,422
21002,465
21033,467
21064,404
21094,347
21125,305
21155,336
21186,340
21217,318
21245,362
21276,348
21306,363
21337,435
21367,491
21398,505
21429,404
21459,359
21490,310
21520,337
21551,360
21582,342
21610,406
21641,396
21671,420
21702,472
21732,548
21763,559
21794,463
21824,407
21855,362
21885,405
21916,417
21947,391
21976,419
22007,461
22037,472
22068,535
22098,622
22129,606
22160,508
22190,461
22221,390
22251,432
